"site_code","latitude","longitude","impervious_500","canopy_500","dist_wetland_m"
"Site 224",40.729523,-111.841969,46.233409610984,13.5926773455378,431.762947331034
"Site 229",40.729612,-111.883171,60.4954337899543,8.10159817351598,1620.12275162817
"Site 230",40.752834,-111.898097,77.8052691867125,1.13631156930126,1666.54519488888
"Site 027",40.846014,-112.029156,0,0.720136518771331,49.1098896281667
"Site 005",40.778689,-112.02854,66.8725602755454,1.89437428243398,256.01637960689
"Site 029",40.826462,-111.944005,12.8804597701149,0.886206896551724,99.3745799557194
"Site 052",40.826291,-112.114005,0.073394495412844,0,97.435354350004
"Site 051",40.794842,-112.122441,0,0.0425776754890679,6.16100808494985
"Site 028",40.802139,-112.050242,1.49771167048055,0.899313501144165,2.3061663067772
"Site 024",40.806671,-112.016928,1.48571428571429,0,42.3161570440464
"Site 022",40.829946,-111.986131,0,0.0754285714285714,2.69841994133481
"Site 226",40.705864,-111.806695,35.1917336394948,13.3777267508611,446.037359263846
"Site 037",40.740352,-112.029477,37.2442660550459,0,114.135882851122
"Site 211",40.730895,-111.857223,57.3130733944954,13.8864678899083,159.657045022282
"Site 009",40.841775,-111.970167,1.74514285714286,0,142.070970893355
"Site 062",40.852033,-112.049517,0.357798165137615,0.38302752293578,1.55521879609451
"Site 032",40.772369,-111.920029,67.7191780821918,2.48173515981735,488.875060066624
"Site 212",40.764295,-111.876123,72.8568155784651,6.34478808705613,1585.37212250205
"Site 218",40.723648,-111.822666,52.1443298969072,15.0469644902635,987.734014749814
"Site 214",40.776333,-111.89899,61.8285714285714,8.43771428571429,1167.04091982007
"Site 220",40.722358,-111.860128,65.6449771689498,5.94178082191781,84.3434803406098
"Site 219",40.781594,-111.864795,33.6846330275229,12.5837155963303,568.973687381421
"Site 215",40.750031,-111.861323,53.5360824742268,16.9988545246277,589.419372439777
"Site 231",40.752326,-111.918378,51.4696449026346,6.36082474226804,246.430741394722
"Site 213",40.740865,-111.891203,71.0631458094145,3.89322617680827,1323.79173914134
"Site 049",40.768911,-112.083321,5.68505747126437,0,137.844969289516
"Site 033",40.727647,-111.931808,30.8859749144812,1.48004561003421,6.72064872381712
"Site 054",40.787677,-112.063284,6.26887871853547,0.229977116704806,0
"Site 025",40.793303,-112.012101,2.29485714285714,0.456,7.47211289401654
"Site 222",40.710842,-111.859296,53.4004576659039,12.7471395881007,440.002182879572
"Site 026",40.830952,-112.031522,0.114810562571757,0.445464982778416,13.5822249965987
"Site 003",40.84209,-111.953357,13.4422857142857,0.507428571428571,19.4056636734528
"Site 209",40.749919,-111.813278,31.3748571428571,8.152,38.9978908322717
"Site 035",40.816002,-112.101481,2.19284064665127,0,0
"Site 053",40.824112,-112.069104,0,0,9.83519528822044
"Site 060",40.747503,-111.967566,68.8034482758621,0.508045977011494,289.726632734643
"Site 057",40.86989,-112.023355,0,0.405498281786942,9.29943186290692
"Site 030",40.727823,-112.045785,11.9027459954233,0.022883295194508,13.0313593502626
"Site 063",40.871167,-111.981345,0.116838487972509,0.0515463917525773,28.6926871773479
"Site 221",40.710398,-111.872716,43.072976054732,7.91790193842645,2.30331269290105
"Site 065",40.81327,-112.059,1.82163406214039,1.28423475258918,0
"Site 056",40.845859,-111.982075,0.449308755760369,0.27073732718894,39.4503875987734
"Site 059",40.754836,-112.038803,40.1892201834862,0.0229357798165138,258.55962387354
"Site 023",40.822043,-112.015109,1.592,0.718857142857143,4.26455395670187
"Site 061",40.800948,-112.084522,16.5526315789474,0.0892448512585812,179.025624628519
"Site 001",40.815674,-111.942333,40.4043528064147,2.1901489117984,20.2079724586258
"Site 227",40.7930466,-111.9258517,50.3878718535469,5.7162471395881,753.599137953497
"Site 031",40.80014,-111.937342,30.25,4.53325688073395,92.7090258034499
"Site 004",40.844458,-112.003105,2.11670480549199,0.488558352402746,4.78286958033747
"Site 066",40.841498,-112.074051,0.0745412844036697,0.259174311926606,12.1035555315823
"Site 228",40.764297,-111.861971,57.0091848450057,16.50401836969,1395.98840572216
"Site 064",40.816544,-111.955752,31.0137931034483,0.208045977011494,173.790897411233
"Site 050",40.784374,-112.109041,0,0.113793103448276,1.46079408766596
"Site 223",40.715254,-111.847231,46.539338654504,12.1163055872292,647.644711941688
"Site 207",40.742217,-111.875491,47.5837155963303,11.4254587155963,142.535062093573
"Site 058",40.754243,-112.003557,52.7451205510907,0.654420206659013,2.43668877345316
"Site 225",40.738721,-111.837254,44.6647597254005,16.1739130434783,50.0001448511409
"Site 034",40.771529,-111.97708,39.1267281105991,0.359447004608295,52.7401060075908
"Site 208",40.74037,-111.816866,39.9173363949483,15.6394948335247,795.121699565619
