system:index,mean,site_code,.geo
0000000000000000000a,0.19428520912811137,Site 022,"{""type"":""Polygon"",""coordinates"":[[[-111.986131402303,40.83444551109719],[-111.9877924450335,40.834266421753796],[-111.98932124359992,40.833743412004786],[-111.990596088328,40.83291812086973],[-111.9915154975254,40.83185625131728],[-111.99200629668765,40.8306423372518],[-111.99202943992007,40.829373011778415],[-111.99158311121154,40.828149313477724],[-111.99070286081597,40.82706864365031],[-111.98945876843577,40.82621701476025],[-111.98794986120637,40.82566220660596],[-111.98629623195471,40.8254483741251],[-111.9846294848614,40.825592535092234],[-111.98308226747659,40.82608321653062],[-111.98177771993619,40.826881367263574],[-111.9808196787383,40.82792346418373],[-111.98028441307085,40.82912656566887],[-111.98021455094403,40.83039491083522],[-111.98061567949185,40.83162754023285],[-111.98145589208895,40.832726331959634],[-111.98266832087447,40.83360381360029],[-111.98415645535539,40.83419012771249],[-111.9858018250029,40.83443859557033],[-111.986131402303,40.83444551109719]]]}"
0000000000000000000b,0.4603678005850405,Site 226,"{""type"":""Polygon"",""coordinates"":[[[-111.80669717591235,40.71036210608294],[-111.80835511950549,40.71018301679162],[-111.80988106578255,40.709660007182485],[-111.81115353221935,40.7088347162315],[-111.81207122646069,40.70777284684986],[-111.81256111044746,40.70655893288863],[-111.81258421099767,40.70528960742038],[-111.81213871533464,40.70406590902414],[-111.81126010726184,40.70298523903028],[-111.81001833567946,40.70213360995485],[-111.8085122430038,40.7015788016541],[-111.80686169812408,40.701364969111374],[-111.80519805985875,40.70150913012054],[-111.80365372845412,40.701999811691756],[-111.8023516144365,40.70279796260687],[-111.80139536062968,40.703840059701726],[-111.80086109388861,40.70504316129953],[-111.80079136257902,40.70631150648138],[-111.80119174325928,40.7075441357925],[-111.80203038868977,40.70864292735776],[-111.80324055567479,40.709520408812274],[-111.80472591376783,40.71010672277183],[-111.80636821353411,40.71035519055814],[-111.80669717591235,40.71036210608294]]]}"
0000000000000000000c,0.12093488814949567,Site 037,"{""type"":""Polygon"",""coordinates"":[[[-112.02947832364354,40.74485325273134],[-112.03113712675436,40.74467416342557],[-112.03266386408805,40.74415115377761],[-112.03393699012238,40.74332586277553],[-112.03485515999132,40.742263993346484],[-112.03534529779378,40.741050079356306],[-112.03536841018158,40.739780753886635],[-112.03492268348096,40.738557055516914],[-112.03404361992482,40.737476385569266],[-112.03280120469014,40.73662475654528],[-112.03129433142344,40.73606994828519],[-112.02964293112099,40.73585611575965],[-112.0279784306503,40.736000276757146],[-112.02643329884513,40.73649095829148],[-112.02513050991197,40.73728910915604],[-112.02417376038842,40.73833120620239],[-112.0236392166042,40.73953430776892],[-112.02356944901368,40.74080265294647],[-112.02397003710831,40.7420352822816],[-112.02480911717832,40.743134073891696],[-112.02601991145323,40.7440115553979],[-112.0275060395523,40.744597869399804],[-112.02914919072232,40.744846337205985],[-112.02947832364354,40.74485325273134]]]}"
0000000000000000000d,0.36257360871096395,Site 211,"{""type"":""Polygon"",""coordinates"":[[[-111.85722324994894,40.73539549939699],[-111.85888181722451,40.73521641009518],[-111.86040833750737,40.73469340045787],[-111.86168128256077,40.73386810946981],[-111.86259932192655,40.73280624005376],[-111.86308939008687,40.73159232607153],[-111.86311249922665,40.73032300060225],[-111.86266683591833,40.72909930222525],[-111.86178789733812,40.72801863226492],[-111.86054565870933,40.72716700322683],[-111.8590389996219,40.72661219495559],[-111.85738783403109,40.72639836242532],[-111.85572357013307,40.726542523426026],[-111.85417865794251,40.72703320497048],[-111.85287605419327,40.7278313558489],[-111.85191944068492,40.72887345290856],[-111.85138497291605,40.73007655448367],[-111.85131521528034,40.731344899662396],[-111.85171574646442,40.732577528990944],[-111.85255470727766,40.73367632058874],[-111.85376532943621,40.73455380208076],[-111.85525124626035,40.73514011607106],[-111.85689416382145,40.73538858387178],[-111.85722324994894,40.73539549939699]]]}"
0000000000000000000e,0.268396798431933,Site 009,"{""type"":""Polygon"",""coordinates"":[[[-111.97016782053167,40.84627550619198],[-111.97182915974324,40.84609641684363],[-111.97335823117584,40.84557340708124],[-111.97463330342474,40.844748115928596],[-111.97555287668452,40.84368624635984],[-111.97604376339763,40.842472332284395],[-111.97606691071321,40.84120300681052],[-111.9756205023108,40.83997930851896],[-111.97474009480133,40.83889863870745],[-111.97349578040046,40.83804700983509],[-111.97198660391496,40.83749220169479],[-111.97033267959483,40.83727836921985],[-111.96866563509346,40.837422530182955],[-111.96711814161945,40.83791321160866],[-111.9658133612745,40.838711362324204],[-111.96485514908463,40.83975345922769],[-111.96431978785421,40.84095656070206],[-111.96424991321264,40.84222490586693],[-111.96465111330568,40.84345753527281],[-111.96549147582678,40.84455632701503],[-111.96670412098895,40.84543380867348],[-111.96819252107487,40.846020122800255],[-111.96983818440464,40.846268590664934],[-111.97016782053167,40.84627550619198]]]}"
0000000000000000000f,0.2581112297007451,Site 062,"{""type"":""Polygon"",""coordinates"":[[[-112.04951752377772,40.85653143861489],[-112.0511791201645,40.85635234926224],[-112.05270842828814,40.85582933948827],[-112.05398369789438,40.85500404832037],[-112.05490341346605,40.85394217873745],[-112.05539437612299,40.85272826465338],[-112.05541752698043,40.851458939179075],[-112.05497104944953,40.85023524089543],[-112.05409050565545,40.8491545710977],[-112.05284599866823,40.84830294224071],[-112.05133658862312,40.84774813411255],[-112.04968240835312,40.84753430164273],[-112.04801510587247,40.84767846260236],[-112.04646737291168,40.84816914401704],[-112.04516239062615,40.8489672947175],[-112.0442040301135,40.85000939160651],[-112.04366858598931,40.85121249307154],[-112.04359870049214,40.85248083823513],[-112.0439999626453,40.853713467648184],[-112.04484045521431,40.854812259403786],[-112.04605328806709,40.85568974107765],[-112.04754191854553,40.85627605521708],[-112.04918783662275,40.85652452308769],[-112.04951752377772,40.85653143861489]]]}"
00000000000000000010,0.19245239092091937,Site 032,"{""type"":""Polygon"",""coordinates"":[[[-111.92002968828673,40.776869598295086],[-111.92168929057972,40.776690508975896],[-111.92321676344028,40.77616749929185],[-111.92449050277048,40.775342208242286],[-111.92540911487936,40.77428033876919],[-111.9258994886804,40.773066424752116],[-111.92592261207476,40.771797099281116],[-111.92547667055466,40.770573400936044],[-111.9245971834887,40.76949273103132],[-111.92335416978418,40.768641102055156],[-111.92184657072154,40.768086293832845],[-111.92019437504449,40.76787246132325],[-111.91852907289261,40.76801662230991],[-111.91698319687261,40.76850730380998],[-111.91567978040092,40.76930545462755],[-111.91472256995843,40.77034755162886],[-111.91418776857861,40.77155065316632],[-111.91411796725394,40.772818998339865],[-111.91451874820304,40.774051627697325],[-111.91535823240217,40.77515041934907],[-111.91656960993318,40.77602790090328],[-111.91805645398622,40.77661421494458],[-111.91970039679407,40.77686268276919],[-111.92002968828673,40.776869598295086]]]}"
00000000000000000011,0.20062133996680098,Site 212,"{""type"":""Polygon"",""coordinates"":[[[-111.87612092021344,40.76879416628729],[-111.87778032080848,40.76861507697148],[-111.87930760803647,40.768092067296536],[-111.88058119258281,40.76726677625896],[-111.88149969307898,40.766204906796965],[-111.88199000731862,40.764990992786686],[-111.88201312793514,40.76372166731602],[-111.88156724063127,40.76249796896473],[-111.88068786045089,40.76141729904918],[-111.87944499778843,40.76056567006095],[-111.87793758190247,40.7600108618291],[-111.87628558696238,40.759797029315486],[-111.87462048713914,40.75994119030488],[-111.87307479894437,40.7604318718136],[-111.87177154085111,40.76123002264302],[-111.87081444673554,40.76227211965569],[-111.8702797103678,40.76347522120049],[-111.87020991755699,40.764743566375046],[-111.87061064983338,40.765976195726864],[-111.87145003203825,40.76707498736811],[-111.87266126236685,40.767952468910195],[-111.87414792572714,40.76853878294156],[-111.8757916687411,40.76878725076153],[-111.87612092021344,40.76879416628729]]]}"
00000000000000000012,0.39849418577452494,Site 218,"{""type"":""Polygon"",""coordinates"":[[[-111.82266521678473,40.72814946018513],[-111.82432360345155,40.72797037088636],[-111.82584995751124,40.72744736125721],[-111.82712276396468,40.72662207027989],[-111.82804070338779,40.72556020087381],[-111.8285307182143,40.72434628689765],[-111.82855382486669,40.72307696142867],[-111.82810821010584,40.72185326304609],[-111.82722936723545,40.72077259307606],[-111.82598726385605,40.71992096402715],[-111.8244807687927,40.71936615574737],[-111.82282978295018,40.71915232321351],[-111.82116570022568,40.719296484216656],[-111.81962095622173,40.71978716576885],[-111.81831849429116,40.7205853166579],[-111.81736198494681,40.72162741372775],[-111.81682757539247,40.72283051530943],[-111.81675782538039,40.724098860489065],[-111.8171583129809,40.72533148981256],[-111.8179971824642,40.726430281400944],[-111.81920767281154,40.7273077628821],[-111.82069342783582,40.72789407686349],[-111.82233616649312,40.72814254466005],[-111.82266521678473,40.72814946018513]]]}"
00000000000000000013,0.2999636584161944,Site 214,"{""type"":""Polygon"",""coordinates"":[[[-111.8989871904155,40.78083373913159],[-111.9006468917498,40.78065464981073],[-111.90217445576297,40.78013164012222],[-111.90344827109789,40.77930634906677],[-111.90436693801281,40.7782444795882],[-111.90485734106078,40.77703056556781],[-111.90488046581916,40.77576124009665],[-111.90443449767683,40.77453754175463],[-111.90355495812601,40.77345687185523],[-111.90231187025411,40.772605242884985],[-111.90080418124482,40.772050434667364],[-111.89915188699833,40.77183660215974],[-111.89748648549546,40.77198076314506],[-111.89594051724616,40.772471444640885],[-111.89463702300468,40.77326959545263],[-111.89367975544127,40.77431169244835],[-111.89314492213805,40.77551479398221],[-111.89307511663279,40.77678313915527],[-111.893475921482,40.77801576851548],[-111.89431545576419,40.7791145601724],[-111.89552690557711,40.779992041732555],[-111.89701383835717,40.78057835577873],[-111.89865787927134,40.780826823605636],[-111.8989871904155,40.78083373913159]]]}"
