system:index,mean,site_code,.geo
0000000000000000000a,0.2665142513562912,Site 027,"{""type"":""Polygon"",""coordinates"":[[[-112.02919740027718,40.85050719309169],[-112.03085884558537,40.85032810374156],[-112.03238801466392,40.8498050939744],[-112.03366316833183,40.84897980281546],[-112.03458280030183,40.84791793324086],[-112.03507371834527,40.84670401916185],[-112.03509686712205,40.8454346936878],[-112.03465043020094,40.844210995399514],[-112.03376996646779,40.843130325593684],[-112.03252557261617,40.84227869672767],[-112.03101629977655,40.841723888592384],[-112.0293622698653,40.84151005611956],[-112.02769511893558,40.84165421708122],[-112.02614752666224,40.84214489850238],[-112.02484266300749,40.84294304921169],[-112.02388438962765,40.84398514610921],[-112.02334899419971,40.84518824757973],[-112.02327911507972,40.84645659274406],[-112.0236803407754,40.847689222152916],[-112.02452075694728,40.848788013900645],[-112.02573347954046,40.84966549556546],[-112.02722197467394,40.850251809697454],[-112.02886774309876,40.85050027756458],[-112.02919740027718,40.85050719309169]]]}"
0000000000000000000b,0.3794923862791728,Site 028,"{""type"":""Polygon"",""coordinates"":[[[-112.0501997662389,40.80663855692787],[-112.05186011277203,40.806459467596184],[-112.05338827059357,40.80593645787856],[-112.05466258105683,40.805111166784805],[-112.05558160500257,40.8040492972707],[-112.05607219857775,40.80283538322861],[-112.056095332222,40.80156605775638],[-112.05564919065077,40.80034235943424],[-112.05476930919038,40.799261689569484],[-112.05352573815952,40.79841006063781],[-112.05201746319791,40.79785525245066],[-112.0503645268266,40.797641419955916],[-112.0486984781075,40.797785580932484],[-112.04715190903588,40.79827626240068],[-112.04584790816762,40.79907441317451],[-112.04489026849336,40.80011651013388],[-112.04435522722709,40.8013196116443],[-112.04428539448739,40.80258795681413],[-112.04468635503257,40.803820586192344],[-112.0455262155778,40.80491937788287],[-112.04673813626724,40.80579685948176],[-112.04822564705398,40.8063831735597],[-112.04987032707626,40.8066316414015],[-112.0501997662389,40.80663855692787]]]}"
0000000000000000000c,0.27772566733182535,Site 029,"{""type"":""Polygon"",""coordinates"":[[[-111.94400181555004,40.83096295317444],[-111.945662771035,40.83078386383252],[-111.94719148930503,40.83026085408744],[-111.9484662670805,40.82943556295755],[-111.94938562799922,40.82837369340991],[-111.94987640139787,40.82715977934737],[-111.94989954342873,40.825890453874116],[-111.94945323817173,40.824666755570746],[-111.94857303401011,40.82358608573865],[-111.94732900696395,40.82273445684337],[-111.94582017896865,40.82217964868497],[-111.94416663654684,40.82196581620238],[-111.94249997697187,40.82210997717069],[-111.94095284083188,40.82260065861281],[-111.93964836179894,40.82339880935088],[-111.93869037091889,40.82444090627596],[-111.93815513337277,40.82564400776426],[-111.93808527492868,40.82691235293105],[-111.93848638242287,40.82814498232624],[-111.9393265509018,40.829243774048486],[-111.94053891601409,40.83012125568391],[-111.94202697233538,40.83070756979181],[-111.94367225556094,40.83095603764765],[-111.94400181555004,40.83096295317444]]]}"
0000000000000000000d,0.19163656184055364,Site 030,"{""type"":""Polygon"",""coordinates"":[[[-112.04579863349915,40.732318719670104],[-112.04745712407741,40.73213963036958],[-112.04898357377196,40.731616620735736],[-112.0502564599675,40.730791329752236],[-112.05117445689164,40.72972946034042],[-112.05166450240323,40.72851554636076],[-112.0516876104867,40.72724622089161],[-112.05124196779455,40.726022522512245],[-112.05036306985846,40.7249418525478],[-112.04912088866469,40.724090223505115],[-112.0476142992317,40.72353541523024],[-112.0459632099728,40.72332158269845],[-112.0442990230119,40.72346574370019],[-112.04275418224346,40.723956425247934],[-112.04145163871893,40.72475457613087],[-112.04049506944486,40.72579667319486],[-112.03996062639737,40.72699977477276],[-112.0398908719991,40.72826811995186],[-112.04029138467499,40.72950074927827],[-112.04113030670408,40.73059954087206],[-112.04234087288768,40.73147702235948],[-112.04382672100189,40.732063336345995],[-112.04546956258972,40.73231180414495],[-112.04579863349915,40.732318719670104]]]}"
0000000000000000000e,0.4807170120287953,Site 031,"{""type"":""Polygon"",""coordinates"":[[[-111.93729978666673,40.80464087965595],[-111.93896008322191,40.80446179032511],[-111.9404881950463,40.803938780609734],[-111.94176246715627,40.80311348951894],[-111.94268146344594,40.80205162000759],[-111.94317204226263,40.80083770596718],[-111.94319517521856,40.799568380495025],[-111.94274904708136,40.79834468217136],[-111.94186919210574,40.797264012303906],[-111.94062565850099,40.79641238336926],[-111.93911742892801,40.79585757517975],[-111.93746454229652,40.79564374268401],[-111.93579854371163,40.79578790366124],[-111.93425202118047,40.796278585131574],[-111.9329480595562,40.79707673590834],[-111.93199044870613,40.79811883287053],[-111.93145542354893,40.79932193438277],[-111.93138559291886,40.80059027955284],[-111.93178654140364,40.801822908929665],[-111.9326263766761,40.802921700617595],[-111.93383826089084,40.80379918221348],[-111.93532572690444,40.80438549628896],[-111.93697035742056,40.80463396412961],[-111.93729978666673,40.80464087965595]]]}"
0000000000000000000f,0.19283038233491737,Site 032,"{""type"":""Polygon"",""coordinates"":[[[-111.91999847457934,40.776869598295086],[-111.92165807687235,40.77669050897589],[-111.92318554973289,40.77616749929185],[-111.92445928906311,40.775342208242286],[-111.92537790117197,40.77428033876919],[-111.92586827497301,40.773066424752116],[-111.92589139836738,40.771797099281116],[-111.92544545684729,40.770573400936044],[-111.92456596978131,40.76949273103132],[-111.92332295607677,40.768641102055156],[-111.92181535701415,40.768086293832845],[-111.92016316133709,40.76787246132325],[-111.91849785918522,40.76801662230991],[-111.91695198316522,40.76850730380998],[-111.91564856669352,40.76930545462755],[-111.91469135625104,40.77034755162886],[-111.91415655487121,40.77155065316632],[-111.91408675354657,40.77281899833987],[-111.91448753449565,40.774051627697325],[-111.91532701869478,40.77515041934907],[-111.91653839622579,40.77602790090329],[-111.91802524027885,40.77661421494458],[-111.9196691830867,40.7768626827692],[-111.91999847457934,40.776869598295086]]]}"
00000000000000000010,0.47628333811046136,Site 033,"{""type"":""Polygon"",""coordinates"":[[[-111.93180171506782,40.732149273830075],[-111.93346020142252,40.73197018452962],[-111.9349866472299,40.731447174895976],[-111.93625953018427,40.73062188391272],[-111.93717752477123,40.72956001450114],[-111.9376675690356,40.72834610052163],[-111.9376906770609,40.727076775052474],[-111.93724503550405,40.72585307667298],[-111.93636613980614,40.72477240670832],[-111.93512396177519,40.72392077766538],[-111.93361737617793,40.7233659693903],[-111.93196629112248,40.72315213685843],[-111.93030210839835,40.72329629786022],[-111.92875727156297,40.723786979408146],[-111.9274547313549,40.72458513029133],[-111.92649816451673,40.72562722735555],[-111.92596372283059,40.72683032893361],[-111.92589396861061,40.72809867411274],[-111.92629448026727,40.729331303439025],[-111.9271334001606,40.7304300950326],[-111.92834396326178,40.73130757651976],[-111.92982980759228,40.731893890506065],[-111.9314726449964,40.73214235830493],[-111.93180171506782,40.732149273830075]]]}"
00000000000000000011,0.1230506690143763,Site 034,"{""type"":""Polygon"",""coordinates"":[[[-111.97709726356871,40.77603128729704],[-111.97875684491962,40.77585219797819],[-111.98028429850615,40.77532918829508],[-111.9815580217653,40.774503897246774],[-111.98247662228553,40.77344202777482],[-111.98296698990237,40.77222811375846],[-111.98299011300833,40.770958788287494],[-111.98254417711743,40.769735089941776],[-111.9816647011493,40.76865442003593],[-111.98042170312732,40.76780279105851],[-111.97891412308373,40.767247982835215],[-111.97726194824897,40.76703415032521],[-111.97559666710468,40.76717831131214],[-111.97405081058636,40.767668992813114],[-111.97274741055894,40.7684671436319],[-111.97179021219456,40.76950924063439],[-111.97125541756488,40.77071234217262],[-111.9711856171242,40.77198068734628],[-111.97158639301965,40.773213316703135],[-111.97242586662883,40.7743121083538],[-111.97363722887596,40.77518958990676],[-111.97512405416788,40.775775903947014],[-111.97676797623132,40.77602437177116],[-111.97709726356871,40.77603128729704]]]}"
00000000000000000012,0.16638479943090656,Site 035,"{""type"":""Polygon"",""coordinates"":[[[-112.1015017238588,40.82050190210305],[-112.10316241736399,40.82032281276553],[-112.10469089452108,40.81979980303226],[-112.10596547125216,40.81897451191791],[-112.10688468720029,40.8179126423847],[-112.10737538323633,40.816698728330955],[-112.10739852165914,40.81542940285815],[-112.10695228682211,40.8142057045467],[-112.10607222149116,40.813125034700555],[-112.10482839062931,40.812273405789625],[-112.10331980055699,40.81171859761885],[-112.10166651886675,40.81150476513103],[-112.10000012209069,40.81164892610289],[-112.09845322991161,40.81213960755623],[-112.09714895659194,40.81293775830968],[-112.09619111680564,40.813979855249514],[-112.09565596370192,40.815182956747336],[-112.09558611631623,40.81645130191543],[-112.09598716059085,40.817683931303314],[-112.09682719659232,40.81878272301192],[-112.09803937050755,40.81966020463163],[-112.09952719213209,40.82024651872664],[-112.10117221585098,40.820494986576435],[-112.1015017238588,40.82050190210305]]]}"
00000000000000000013,0.1707264543354416,Site 036,"{""type"":""Polygon"",""coordinates"":[[[-112.05869881284679,40.82876015725403],[-112.06035971315488,40.828581067913056],[-112.0618883806429,40.82805805817045],[-112.06316311607543,40.82723276704383],[-112.06408244646116,40.82617089749923],[-112.06457320356608,40.82495698343853],[-112.06459634483703,40.823687657965394],[-112.06415005441154,40.82246395966031],[-112.06326987948972,40.82138328982526],[-112.06202589376295,40.82053166092668],[-112.06051711587777,40.819976852765684],[-112.05886362836993,40.81976302028198],[-112.05719702414436,40.81990718125104],[-112.05564993938617,40.820397862695515],[-112.05434550367954,40.821196013436825],[-112.05338754462208,40.82223811036502],[-112.05285232486081,40.823441211855325],[-112.05278246874578,40.82470955702239],[-112.05318356292499,40.82594218641604],[-112.05402370350217,40.82704097813541],[-112.05523602834552,40.82791845976753],[-112.05672403523614,40.82850477387272],[-112.05836926380572,40.82875324172728],[-112.05869881284679,40.82876015725403]]]}"
00000000000000000014,0.12099951569052209,Site 037,"{""type"":""Polygon"",""coordinates"":[[[-112.02950507824985,40.74484879363029],[-112.03116388124946,40.74466970432451],[-112.03269061848077,40.74414669467655],[-112.03396374442977,40.743321403674486],[-112.03488191423713,40.74225953424544],[-112.03537205200678,40.741045620255264],[-112.03539516439302,40.73977629478559],[-112.03494943772232,40.73855259641587],[-112.03407037422511,40.73747192646822],[-112.03282795907371,40.736620297444226],[-112.03132108590803,40.736065489184135],[-112.02966968571627,40.73585165665858],[-112.02800518535712,40.73599581765608],[-112.02646005365553,40.73648649919043],[-112.0251572648097,40.73728465005498],[-112.0242005153503,40.73832674710135],[-112.02366597160191,40.73952984866788],[-112.0235962040161,40.74079819384543],[-112.02399679208388,40.74203082318056],[-112.02483587209767,40.74312961479065],[-112.0260466662914,40.74400709629683],[-112.02753279429083,40.744593410298755],[-112.02917594535069,40.74484187810492],[-112.02950507824985,40.74484879363029]]]}"
00000000000000000015,0.14438351253122295,Site 038,"{""type"":""Polygon"",""coordinates"":[[[-112.04650317146562,40.744911221045044],[-112.04816197602223,40.74473213173924],[-112.04968871468658,40.74420912209121],[-112.05096184183046,40.74338383108905],[-112.05188001249945,40.74232196165991],[-112.05237015072888,40.74110804766969],[-112.05239326313658,40.73983872220002],[-112.05194753604732,40.73861502383034],[-112.051068471725,40.73753435388277],[-112.04982605540762,40.73668272485888],[-112.04831918082786,40.73612791659886],[-112.04666777908648,40.73591408407333],[-112.04500327716542,40.73605824507081],[-112.04345814401388,40.73654892660509],[-112.04215535394542,40.73734707746956],[-112.04119860358801,40.73838917451584],[-112.04066405933777,40.73959227608231],[-112.04059429168622,40.74086062125985],[-112.04099488012974,40.742093250595026],[-112.04183396093089,40.74319204220519],[-112.04304475626098,40.744069523711474],[-112.0445308856553,40.744655837713466],[-112.04617403825749,40.744904305519675],[-112.04650317146562,40.744911221045044]]]}"
00000000000000000016,0.275271417259461,Site 039,"{""type"":""Polygon"",""coordinates"":[[[-111.88590418792471,40.75158203622099],[-111.88756315889046,40.7514029469124],[-111.88909005070936,40.750879937256855],[-111.8903633055563,40.75005464624479],[-111.89128156831039,40.748992776806496],[-111.89177175568044,40.74777886281068],[-111.89179487038,40.746509537340714],[-111.89134909856011,40.74528583897617],[-111.89046994605276,40.74420516903755],[-111.88922740511943,40.74335354002361],[-111.88772037941133,40.74279873177146],[-111.88606881205367,40.742584899249266],[-111.88440414320314,40.742729060244486],[-111.88285885508799,40.743219741771625],[-111.88155593435077,40.74401789262631],[-111.88059908801887,40.7450599896632],[-111.88006449013096,40.746263091223625],[-111.87999471545515,40.74753143640032],[-111.88039534405566,40.748764065740154],[-111.88123450900629,40.74986285735899],[-111.88244542578447,40.75074033887528],[-111.88393170425778,40.751326652885474],[-111.88557502169819,40.75157512069552],[-111.88590418792471,40.75158203622099]]]}"
00000000000000000017,0.3978251638797551,Site 040,"{""type"":""Polygon"",""coordinates"":[[[-111.88070041699534,40.74401048263224],[-111.88235919908655,40.743831393326815],[-111.88388591707489,40.74330838367981],[-111.88515902697873,40.74248309267898],[-111.88607718521614,40.74142122325108],[-111.88656731681152,40.74020730926162],[-111.88659042890983,40.73893798379198],[-111.88614470785926,40.73771428542161],[-111.88526565544198,40.73663361547284],[-111.8840232559479,40.73578198644759],[-111.8825164017706,40.735227178186506],[-111.8808650223876,40.73501334566054],[-111.87920054300218,40.735157506658325],[-111.87765543077089,40.735648188193565],[-111.87635265834284,40.73644633905935],[-111.8753959209421,40.737488436106894],[-111.87486138393298,40.73869153767419],[-111.87479161722973,40.739959882851835],[-111.875192200252,40.74119251218639],[-111.87603126969287,40.74229130379538],[-111.87724204862737,40.74316878530032],[-111.87872815789588,40.743755099301204],[-111.88037128824475,40.744003567106894],[-111.88070041699534,40.74401048263224]]]}"
00000000000000000018,0.30205568575208863,Site 041,"{""type"":""Polygon"",""coordinates"":[[[-111.88510154973508,40.74112098514961],[-111.88676025976595,40.7409418958454],[-111.88828691143357,40.740418886201645],[-111.889559966038,40.7395935952051],[-111.89047808439967,40.73853172578118],[-111.89096819471563,40.737317811794135],[-111.89099130582149,40.73604848632462],[-111.89054560414068,40.73482478795202],[-111.88966658991028,40.73374411799937],[-111.88842424437878,40.732892488969824],[-111.88691745564479,40.73233768070533],[-111.88526614797881,40.73212384817793],[-111.88360174087909,40.73226800917668],[-111.88205669575187,40.732758690715016],[-111.88075397990747,40.733556841585035],[-111.87979728406668,40.73459893863665],[-111.87926277028436,40.735802040206565],[-111.87919300662283,40.73707038538457],[-111.87959357225587,40.73830301471711],[-111.8804326052574,40.73940180632235],[-111.88164333160107,40.74027928782295],[-111.88312937631372,40.74086560182028],[-111.88477243528249,40.74111406962431],[-111.88510154973508,40.74112098514961]]]}"
