name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Fire Station 8,213,-111.891203,40.740865,CO2,31,Culex pipiens,07/29/25 4:04 PM,,13
Fire Station 8,213,-111.891203,40.740865,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,6
Downington Ave,211,-111.857223,40.730895,CO2,31,Culex pipiens,07/29/25 4:04 PM,,62
Downington Ave,211,-111.857223,40.730895,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,6
Fire Station 5,215,-111.861323,40.750031,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,2
Nibley Golf Course,221,-111.872716,40.710398,CO2,31,Culex pipiens,07/29/25 4:04 PM,,24
Nibley Golf Course,221,-111.872716,40.710398,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,10
Fire Station 6,231,-111.918378,40.752326,CO2,31,Culex pipiens,07/29/25 4:04 PM,,67
Fire Station 6,231,-111.918378,40.752326,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,32
Audubon,52,-112.114005,40.826291,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,381
Avocet,51,-112.122441,40.794842,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,2041
South Saratoga,50,-112.109041,40.784374,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,769
Inland Sea,35,-112.101481,40.816002,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1165
Jade,53,-112.069104,40.824112,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,933
Prison,61,-112.084522,40.800948,CO2,31,Culex pipiens,07/29/25 4:04 PM,,40
Prison,61,-112.084522,40.800948,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1437
Goat Farm,54,-112.063284,40.787677,CO2,31,Culex pipiens,07/29/25 4:04 PM,,791
Goat Farm,54,-112.063284,40.787677,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,3053
Noggin,65,-112.059,40.81327,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1123
Runway,66,-112.074051,40.841498,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,262
Elephant Island,62,-112.049517,40.852033,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,438
Bird Reclamation,28,-112.050242,40.802139,CO2,31,Culex pipiens,07/29/25 4:04 PM,,76
Bird Reclamation,28,-112.050242,40.802139,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,2204
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,31,Culex pipiens,07/29/25 4:04 PM,,14
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,656
Harrison,26,-112.031522,40.830952,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1494
Ambassador,27,-112.029156,40.846014,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1346
Lakefront,57,-112.023355,40.86989,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,3850
Power Pole Road,23,-112.015109,40.822043,CO2,31,Culex pipiens,07/29/25 4:04 PM,,16
Power Pole Road,23,-112.015109,40.822043,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,220
Blackhawk,24,-112.016928,40.806671,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,2152
Goggin,25,-112.012101,40.793303,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,7448
Rudy,4,-112.003105,40.844458,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1147
Train Tracks,58,-112.003557,40.754243,CO2,31,Culex pipiens,07/29/25 4:04 PM,,810
Train Tracks,58,-112.003557,40.754243,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,1850
Blue Lake,22,-111.986131,40.829946,CO2,31,Culex pipiens,07/29/25 4:04 PM,,15
Blue Lake,22,-111.986131,40.829946,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,254
Northpoint,56,-111.982075,40.845859,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,633
New State,63,-111.981345,40.871167,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,3509
Wingpointe,34,-111.97708,40.771529,CO2,31,Culex pipiens,07/29/25 4:04 PM,,1562
Wingpointe,34,-111.97708,40.771529,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,394
Drechsel,9,-111.970167,40.841775,CO2,31,Culex pipiens,07/29/25 4:04 PM,,53
Drechsel,9,-111.970167,40.841775,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,714
KETO Pumps,60,-111.967566,40.747503,CO2,31,Culex pipiens,07/29/25 4:04 PM,,259
KETO Pumps,60,-111.967566,40.747503,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,8
SLCMAD Facility,64,-111.955752,40.816544,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,218
Hinckley,3,-111.953357,40.84209,CO2,31,Culex tarsalis,07/29/25 4:04 PM,,266
ATV,29,-111.944005,40.826462,CO2,31,Culex pipiens,07/29/25 4:04 PM,,37
