name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,34,Culex pipiens,08/19/25 4:15 PM,,115
Downington Ave,211,-111.857223,40.730895,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,8
Fire Station 8,213,-111.891203,40.740865,CO2,34,Culex pipiens,08/19/25 4:15 PM,,21
Fire Station 8,213,-111.891203,40.740865,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,1
Fire Station 5,215,-111.861323,40.750031,CO2,34,Culex pipiens,08/19/25 4:15 PM,,8
Nibley Golf Course,221,-111.872716,40.710398,CO2,34,Culex pipiens,08/19/25 4:15 PM,,33
Nibley Golf Course,221,-111.872716,40.710398,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,8
Fire Station 6,231,-111.918378,40.752326,CO2,34,Culex pipiens,08/19/25 4:15 PM,,11
Fire Station 6,231,-111.918378,40.752326,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,8
Audubon,52,-112.114005,40.826291,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,498
Avocet,51,-112.122441,40.794842,CO2,34,Culex pipiens,08/19/25 4:15 PM,,58
Avocet,51,-112.122441,40.794842,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,232
South Saratoga,50,-112.109041,40.784374,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,295
Inland Sea,35,-112.101481,40.816002,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,1477
Jade,53,-112.069104,40.824112,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,385
Prison,61,-112.084522,40.800948,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,499
Goat Farm,54,-112.063284,40.787677,CO2,34,Culex pipiens,08/19/25 4:15 PM,,531
Goat Farm,54,-112.063284,40.787677,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,4023
Noggin,65,-112.059,40.81327,CO2,34,Culex pipiens,08/19/25 4:15 PM,,1
Noggin,65,-112.059,40.81327,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,19
Runway,66,-112.074051,40.841498,CO2,34,Culex pipiens,08/19/25 4:15 PM,,7
Runway,66,-112.074051,40.841498,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,203
Elephant Island,62,-112.049517,40.852033,CO2,34,Culex pipiens,08/19/25 4:15 PM,,35
Elephant Island,62,-112.049517,40.852033,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,933
Bird Reclamation,28,-112.050242,40.802139,CO2,34,Culex pipiens,08/19/25 4:15 PM,,77
Bird Reclamation,28,-112.050242,40.802139,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,2503
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,34,Culex pipiens,08/19/25 4:15 PM,,16
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,581
Harrison,26,-112.031522,40.830952,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,3747
Ambassador,27,-112.029156,40.846014,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,2178
Lakefront,57,-112.023355,40.86989,CO2,34,Culex pipiens,08/19/25 4:15 PM,,159
Lakefront,57,-112.023355,40.86989,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,2345
Power Pole Road,23,-112.015109,40.822043,CO2,34,Culex pipiens,08/19/25 4:15 PM,,41
Power Pole Road,23,-112.015109,40.822043,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,291
Blackhawk,24,-112.016928,40.806671,CO2,34,Culex pipiens,08/19/25 4:15 PM,,3
Blackhawk,24,-112.016928,40.806671,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,47
Goggin,25,-112.012101,40.793303,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,3217
Rudy,4,-112.003105,40.844458,CO2,34,Culex pipiens,08/19/25 4:15 PM,,9
Rudy,4,-112.003105,40.844458,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,572
Train Tracks,58,-112.003557,40.754243,CO2,34,Culex pipiens,08/19/25 4:15 PM,,1108
Train Tracks,58,-112.003557,40.754243,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,199
Blue Lake,22,-111.986131,40.829946,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,491
Northpoint,56,-111.982075,40.845859,CO2,34,Culex pipiens,08/19/25 4:15 PM,,22
Northpoint,56,-111.982075,40.845859,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,734
New State,63,-111.981345,40.871167,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,814
Wingpointe,34,-111.97708,40.771529,CO2,34,Culex pipiens,08/19/25 4:15 PM,,274
Wingpointe,34,-111.97708,40.771529,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,335
Drechsel,9,-111.970167,40.841775,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,927
KETO Pumps,60,-111.967566,40.747503,CO2,34,Culex pipiens,08/19/25 4:15 PM,,138
KETO Pumps,60,-111.967566,40.747503,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,6
SLCMAD Facility,64,-111.955752,40.816544,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,179
Hinckley,3,-111.953357,40.84209,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,954
ATV,29,-111.944005,40.826462,CO2,34,Culex pipiens,08/19/25 4:15 PM,,193
ATV,29,-111.944005,40.826462,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,88
RAC Soccer,1,-111.942333,40.815674,CO2,34,Culex pipiens,08/19/25 4:15 PM,,212
RAC Soccer,1,-111.942333,40.815674,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,904
Rose Park Golf Course,31,-111.937342,40.80014,CO2,34,Culex pipiens,08/19/25 4:15 PM,,8
Rose Park Golf Course,31,-111.937342,40.80014,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,48
Glendale Golf Course,33,-111.931808,40.727647,CO2,34,Culex pipiens,08/19/25 4:15 PM,,147
Glendale Golf Course,33,-111.931808,40.727647,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,116
Fair Park,32,-111.920029,40.772369,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,1
Deseret Nursery,37,-112.029477,40.740352,CO2,34,Culex pipiens,08/19/25 4:15 PM,,1048
Deseret Nursery,37,-112.029477,40.740352,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,1069
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,868
Frontage Corral,49,-112.083321,40.768911,CO2,34,Culex tarsalis,08/19/25 4:15 PM,,254
O'Reillys,59,-112.038803,40.754836,CO2,34,Culex pipiens,08/19/25 4:15 PM,,796
