name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Fire Station 8,213,-111.891203,40.740865,CO2,22,Culex pipiens,05/28/25 2:45 PM,,33
Fire Station 8,213,-111.891203,40.740865,CO2,22,Culex tarsalis,05/28/25 2:45 PM,,4
Downington Ave,211,-111.857223,40.730895,CO2,22,Culex pipiens,05/28/25 2:45 PM,,1
Downington Ave,211,-111.857223,40.730895,CO2,22,Culex tarsalis,05/28/25 2:45 PM,,3
Fire Station 5,215,-111.861323,40.750031,CO2,22,Culex pipiens,05/28/25 2:45 PM,,2
Fire Station 5,215,-111.861323,40.750031,CO2,22,Culex tarsalis,05/28/25 2:45 PM,,12
Nibley Golf Course,221,-111.872716,40.710398,CO2,22,Culex pipiens,05/28/25 2:45 PM,,3
Nibley Golf Course,221,-111.872716,40.710398,CO2,22,Culex tarsalis,05/28/25 2:45 PM,,9
Fire Station 6,231,-111.918378,40.752326,CO2,22,Culex tarsalis,05/28/25 2:45 PM,,9
Nibley Golf Course,221,-111.872716,40.710398,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,1
Graystone Church,222,-111.859296,40.710842,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,3
Stratford Ward,223,-111.847231,40.715254,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,2
Fire Station 5,215,-111.861323,40.750031,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,2
Tracy Aviary,207,-111.875491,40.742217,GRVD,22,Culex pipiens,05/28/25 2:45 PM,1,5
300 E Church,229,-111.883171,40.729612,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,1
Fire Station 8,213,-111.891203,40.740865,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,21
Fire Station 8,213,-111.891203,40.740865,GRVD,22,Culex tarsalis,05/28/25 2:45 PM,,1
700 S 200 W,230,-111.898097,40.752834,GRVD,22,Culex pipiens,05/28/25 2:45 PM,1,9
Fire Station 6,231,-111.918378,40.752326,GRVD,22,Culex pipiens,05/28/25 2:45 PM,,2
Audubon,52,-112.114005,40.826291,CO2,22,Culex tarsalis,05/28/25 3:03 PM,,77
Avocet,51,-112.122441,40.794842,CO2,22,Culex tarsalis,05/28/25 3:03 PM,,50
