name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Fire Station 8,213,-111.891203,40.740865,CO2,28,Culex pipiens,07/08/25 5:35 PM,,74
Fire Station 8,213,-111.891203,40.740865,CO2,28,Culex tarsalis,07/08/25 5:35 PM,,75
Downington Ave,211,-111.857223,40.730895,CO2,28,Culex pipiens,07/08/25 5:35 PM,,37
Downington Ave,211,-111.857223,40.730895,CO2,28,Culex tarsalis,07/08/25 5:35 PM,,142
Fire Station 5,215,-111.861323,40.750031,CO2,28,Culex pipiens,07/08/25 5:35 PM,,44
Fire Station 5,215,-111.861323,40.750031,CO2,28,Culex tarsalis,07/08/25 5:35 PM,,22
Nibley Golf Course,221,-111.872716,40.710398,CO2,28,Culex pipiens,07/08/25 5:35 PM,,26
Nibley Golf Course,221,-111.872716,40.710398,CO2,28,Culex tarsalis,07/08/25 5:35 PM,,28
Fire Station 6,231,-111.918378,40.752326,CO2,28,Culex pipiens,07/08/25 5:35 PM,,4
Fire Station 6,231,-111.918378,40.752326,CO2,28,Culex tarsalis,07/08/25 5:35 PM,,4
Audubon,52,-112.114005,40.826291,CO2,28,Culex pipiens,07/08/25 5:36 PM,,136
Audubon,52,-112.114005,40.826291,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,1637
Avocet,51,-112.122441,40.794842,CO2,28,Culex pipiens,07/08/25 5:36 PM,,29
Avocet,51,-112.122441,40.794842,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,669
South Saratoga,50,-112.109041,40.784374,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,405
Inland Sea,35,-112.101481,40.816002,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,2425
Jade,53,-112.069104,40.824112,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,253
Prison,61,-112.084522,40.800948,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,1219
Goat Farm,54,-112.063284,40.787677,CO2,28,Culex pipiens,07/08/25 5:36 PM,,304
Goat Farm,54,-112.063284,40.787677,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,2113
Noggin,65,-112.059,40.81327,CO2,28,Culex pipiens,07/08/25 5:36 PM,,62
Noggin,65,-112.059,40.81327,CO2,28,Culex tarsalis,07/08/25 5:36 PM,,1215
