name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,21,Culex pipiens,05/21/25 3:17 PM,,9
Downington Ave,211,-111.857223,40.730895,CO2,21,Culex tarsalis,05/21/25 3:17 PM,,12
Fire Station 8,213,-111.891203,40.740865,CO2,21,Culex pipiens,05/21/25 3:17 PM,,1
Fire Station 5,215,-111.861323,40.750031,CO2,21,Culex pipiens,05/21/25 3:17 PM,,2
Fire Station 5,215,-111.861323,40.750031,CO2,21,Culex tarsalis,05/21/25 3:17 PM,,3
Nibley Golf Course,221,-111.872716,40.710398,CO2,21,Culex tarsalis,05/21/25 3:17 PM,,3
Fire Station 6,231,-111.918378,40.752326,CO2,21,Culex tarsalis,05/21/25 3:17 PM,,5
Audubon,52,-112.114005,40.826291,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,4
South Saratoga,50,-112.109041,40.784374,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,7
Inland Sea,35,-112.101481,40.816002,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,10
Prison,61,-112.084522,40.800948,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Prison,61,-112.084522,40.800948,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,6
Goat Farm,54,-112.063284,40.787677,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,17
Noggin,65,-112.059,40.81327,CO2,21,Culex pipiens,05/21/25 3:18 PM,,88
Noggin,65,-112.059,40.81327,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,10
Elephant Island,62,-112.049517,40.852033,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Elephant Island,62,-112.049517,40.852033,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,2
Bird Reclamation,28,-112.050242,40.802139,CO2,21,Culex pipiens,05/21/25 3:18 PM,,2
Bird Reclamation,28,-112.050242,40.802139,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,25
Harrison,26,-112.031522,40.830952,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,8
Ambassador,27,-112.029156,40.846014,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,19
Lakefront,57,-112.023355,40.86989,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,4
Power Pole Road,23,-112.015109,40.822043,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,3
Blackhawk,24,-112.016928,40.806671,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,9
Goggin,25,-112.012101,40.793303,CO2,21,Culex pipiens,05/21/25 3:18 PM,,3
Goggin,25,-112.012101,40.793303,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,22
Rudy,4,-112.003105,40.844458,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Rudy,4,-112.003105,40.844458,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,36
Train Tracks,58,-112.003557,40.754243,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,55
Blue Lake,22,-111.986131,40.829946,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Blue Lake,22,-111.986131,40.829946,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,15
Northpoint,56,-111.982075,40.845859,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,3
New State,63,-111.981345,40.871167,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,6
Wingpointe,34,-111.97708,40.771529,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Wingpointe,34,-111.97708,40.771529,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,117
Drechsel,9,-111.970167,40.841775,CO2,21,Culex pipiens,05/21/25 3:18 PM,,5
Drechsel,9,-111.970167,40.841775,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,130
KETO Pumps,60,-111.967566,40.747503,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
SLCMAD Facility,64,-111.955752,40.816544,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,17
Hinckley,3,-111.953357,40.84209,CO2,21,Culex pipiens,05/21/25 3:18 PM,,3
Hinckley,3,-111.953357,40.84209,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,346
ATV,29,-111.944005,40.826462,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,12
RAC Soccer,1,-111.942333,40.815674,CO2,21,Culex pipiens,05/21/25 3:18 PM,,3
RAC Soccer,1,-111.942333,40.815674,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,68
Rose Park Golf Course,31,-111.937342,40.80014,CO2,21,Culex pipiens,05/21/25 3:18 PM,,1
Rose Park Golf Course,31,-111.937342,40.80014,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,3
Glendale Golf Course,33,-111.931808,40.727647,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,3
Fair Park,32,-111.920029,40.772369,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,8
Deseret Nursery,37,-112.029477,40.740352,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,29
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,4
Frontage Corral,49,-112.083321,40.768911,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,1
O'Reillys,59,-112.038803,40.754836,CO2,21,Culex tarsalis,05/21/25 3:18 PM,,8
Tracy Aviary,207,-111.875491,40.742217,GRVD,21,Culex pipiens,05/21/25 3:18 PM,,1
Fire Station 8,213,-111.891203,40.740865,GRVD,21,Culex pipiens,05/21/25 3:18 PM,1,1
700 S 200 W,230,-111.898097,40.752834,GRVD,21,Culex pipiens,05/21/25 3:18 PM,,1
Fire Station 2,214,-111.89899,40.776333,CO2,21,Culex tarsalis,05/27/25 10:13 AM,,6
Fire Station 4,219,-111.864795,40.781594,CO2,21,Culex tarsalis,05/27/25 10:13 AM,,17
Audubon,52,-112.114005,40.826291,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,39
Avocet,51,-112.122441,40.794842,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,8
South Saratoga,50,-112.109041,40.784374,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,18
Inland Sea,35,-112.101481,40.816002,CO2,21,Culex pipiens,05/27/25 10:14 AM,,19
Inland Sea,35,-112.101481,40.816002,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,54
Jade,53,-112.069104,40.824112,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,11
Prison,61,-112.084522,40.800948,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,51
Goat Farm,54,-112.063284,40.787677,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,130
Noggin,65,-112.059,40.81327,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,1
Elephant Island,62,-112.049517,40.852033,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,60
Bird Reclamation,28,-112.050242,40.802139,CO2,21,Culex pipiens,05/27/25 10:14 AM,,11
Bird Reclamation,28,-112.050242,40.802139,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,103
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,21,Culex pipiens,05/27/25 10:14 AM,,3
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,42
Harrison,26,-112.031522,40.830952,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,146
Ambassador,27,-112.029156,40.846014,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,248
Lakefront,57,-112.023355,40.86989,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,96
Power Pole Road,23,-112.015109,40.822043,CO2,21,Culex pipiens,05/27/25 10:14 AM,,10
Power Pole Road,23,-112.015109,40.822043,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,28
Blackhawk,24,-112.016928,40.806671,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,51
Goggin,25,-112.012101,40.793303,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,414
Rudy,4,-112.003105,40.844458,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,12
Train Tracks,58,-112.003557,40.754243,CO2,21,Culex pipiens,05/27/25 10:14 AM,,2
Train Tracks,58,-112.003557,40.754243,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,57
Blue Lake,22,-111.986131,40.829946,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,58
Northpoint,56,-111.982075,40.845859,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,34
New State,63,-111.981345,40.871167,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,73
Wingpointe,34,-111.97708,40.771529,CO2,21,Culex pipiens,05/27/25 10:14 AM,,8
Wingpointe,34,-111.97708,40.771529,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,351
Drechsel,9,-111.970167,40.841775,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,58
KETO Pumps,60,-111.967566,40.747503,CO2,21,Culex pipiens,05/27/25 10:14 AM,,7
KETO Pumps,60,-111.967566,40.747503,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,78
SLCMAD Facility,64,-111.955752,40.816544,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,29
Hinckley,3,-111.953357,40.84209,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,102
ATV,29,-111.944005,40.826462,CO2,21,Culex pipiens,05/27/25 10:14 AM,,2
ATV,29,-111.944005,40.826462,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,11
RAC Soccer,1,-111.942333,40.815674,CO2,21,Culex pipiens,05/27/25 10:14 AM,,7
RAC Soccer,1,-111.942333,40.815674,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,110
Rose Park Golf Course,31,-111.937342,40.80014,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,10
Glendale Golf Course,33,-111.931808,40.727647,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,13
Fair Park,32,-111.920029,40.772369,CO2,21,Culex pipiens,05/27/25 10:14 AM,,1
Fair Park,32,-111.920029,40.772369,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,9
Deseret Nursery,37,-112.029477,40.740352,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,23
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,28
Frontage Corral,49,-112.083321,40.768911,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,3
O'Reillys,59,-112.038803,40.754836,CO2,21,Culex tarsalis,05/27/25 10:14 AM,,27
Indian Hills Elementary School,208,-111.816866,40.74037,GRVD,21,Culex pipiens,05/27/25 10:14 AM,,1
Rose Park Church,227,-111.9258517,40.7930466,GRVD,21,Culex pipiens,05/27/25 10:14 AM,,1
Rose Park Church,227,-111.9258517,40.7930466,GRVD,21,Culex tarsalis,05/27/25 10:14 AM,,1
Fire Station 1,212,-111.876123,40.764295,GRVD,21,Culex pipiens,05/27/25 10:14 AM,1,
