name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,37,Culex pipiens,09/09/25 3:36 PM,,124
Downington Ave,211,-111.857223,40.730895,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,26
Fire Station 8,213,-111.891203,40.740865,CO2,37,Culex pipiens,09/09/25 3:36 PM,,18
Fire Station 8,213,-111.891203,40.740865,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,7
Fire Station 5,215,-111.861323,40.750031,CO2,37,Culex pipiens,09/09/25 3:36 PM,,16
Fire Station 5,215,-111.861323,40.750031,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,11
Nibley Golf Course,221,-111.872716,40.710398,CO2,37,Culex pipiens,09/09/25 3:36 PM,,8
Nibley Golf Course,221,-111.872716,40.710398,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,5
Fire Station 6,231,-111.918378,40.752326,CO2,37,Culex pipiens,09/09/25 3:36 PM,,9
Fire Station 6,231,-111.918378,40.752326,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,15
Audubon,52,-112.114005,40.826291,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,957
Avocet,51,-112.122441,40.794842,CO2,37,Culex pipiens,09/09/25 3:36 PM,,186
Avocet,51,-112.122441,40.794842,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,1713
South Saratoga,50,-112.109041,40.784374,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,526
Inland Sea,35,-112.101481,40.816002,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,1509
Jade,53,-112.069104,40.824112,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,601
Prison,61,-112.084522,40.800948,CO2,37,Culex pipiens,09/09/25 3:36 PM,,24
Prison,61,-112.084522,40.800948,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,384
Goat Farm,54,-112.063284,40.787677,CO2,37,Culex pipiens,09/09/25 3:36 PM,,145
Goat Farm,54,-112.063284,40.787677,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,4768
Noggin,65,-112.059,40.81327,CO2,37,Culex pipiens,09/09/25 3:36 PM,,236
Noggin,65,-112.059,40.81327,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,1352
Runway,66,-112.074051,40.841498,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,45
Elephant Island,62,-112.049517,40.852033,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,28
Bird Reclamation,28,-112.050242,40.802139,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,1731
Harrison,26,-112.031522,40.830952,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,765
Ambassador,27,-112.029156,40.846014,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,158
Lakefront,57,-112.023355,40.86989,CO2,37,Culex pipiens,09/09/25 3:36 PM,,172
Lakefront,57,-112.023355,40.86989,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,2332
Power Pole Road,23,-112.015109,40.822043,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,190
Blackhawk,24,-112.016928,40.806671,CO2,37,Culex tarsalis,09/09/25 3:36 PM,,1498
