name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,33,Culex pipiens,08/12/25 5:35 PM,,105
Downington Ave,211,-111.857223,40.730895,CO2,33,Culex tarsalis,08/12/25 5:35 PM,,322
Fire Station 8,213,-111.891203,40.740865,CO2,33,Culex pipiens,08/12/25 5:35 PM,,64
Fire Station 8,213,-111.891203,40.740865,CO2,33,Culex tarsalis,08/12/25 5:35 PM,,57
Fire Station 5,215,-111.861323,40.750031,CO2,33,Culex pipiens,08/12/25 5:35 PM,,40
Fire Station 5,215,-111.861323,40.750031,CO2,33,Culex tarsalis,08/12/25 5:35 PM,,22
Nibley Golf Course,221,-111.872716,40.710398,CO2,33,Culex pipiens,08/12/25 5:35 PM,,21
Nibley Golf Course,221,-111.872716,40.710398,CO2,33,Culex tarsalis,08/12/25 5:35 PM,,147
Fire Station 6,231,-111.918378,40.752326,CO2,33,Culex pipiens,08/12/25 5:35 PM,,30
Fire Station 6,231,-111.918378,40.752326,CO2,33,Culex tarsalis,08/12/25 5:35 PM,,199
Audubon,52,-112.114005,40.826291,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1981
Avocet,51,-112.122441,40.794842,CO2,33,Culex pipiens,08/12/25 5:36 PM,,213
Avocet,51,-112.122441,40.794842,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,4028
South Saratoga,50,-112.109041,40.784374,CO2,33,Culex pipiens,08/12/25 5:36 PM,,59
South Saratoga,50,-112.109041,40.784374,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2397
Inland Sea,35,-112.101481,40.816002,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,762
Jade,53,-112.069104,40.824112,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,171
Prison,61,-112.084522,40.800948,CO2,33,Culex pipiens,08/12/25 5:36 PM,,168
Prison,61,-112.084522,40.800948,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,5329
Goat Farm,54,-112.063284,40.787677,CO2,33,Culex pipiens,08/12/25 5:36 PM,,467
Goat Farm,54,-112.063284,40.787677,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,4781
Noggin,65,-112.059,40.81327,CO2,33,Culex pipiens,08/12/25 5:36 PM,,12
Noggin,65,-112.059,40.81327,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,386
Runway,66,-112.074051,40.841498,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2
Elephant Island,62,-112.049517,40.852033,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1811
Bird Reclamation,28,-112.050242,40.802139,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2117
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,33,Culex pipiens,08/12/25 5:36 PM,,24
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,587
Harrison,26,-112.031522,40.830952,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,3914
Ambassador,27,-112.029156,40.846014,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,3219
Lakefront,57,-112.023355,40.86989,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1621
Power Pole Road,23,-112.015109,40.822043,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,618
Blackhawk,24,-112.016928,40.806671,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,815
Goggin,25,-112.012101,40.793303,CO2,33,Culex pipiens,08/12/25 5:36 PM,,396
Goggin,25,-112.012101,40.793303,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,4541
Rudy,4,-112.003105,40.844458,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2052
Train Tracks,58,-112.003557,40.754243,CO2,33,Culex pipiens,08/12/25 5:36 PM,,517
Train Tracks,58,-112.003557,40.754243,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1214
Blue Lake,22,-111.986131,40.829946,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1325
Northpoint,56,-111.982075,40.845859,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2617
New State,63,-111.981345,40.871167,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2847
Wingpointe,34,-111.97708,40.771529,CO2,33,Culex pipiens,08/12/25 5:36 PM,,68
Wingpointe,34,-111.97708,40.771529,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1925
Drechsel,9,-111.970167,40.841775,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2668
KETO Pumps,60,-111.967566,40.747503,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,353
SLCMAD Facility,64,-111.955752,40.816544,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,578
Hinckley,3,-111.953357,40.84209,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,97
ATV,29,-111.944005,40.826462,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,513
RAC Soccer,1,-111.942333,40.815674,CO2,33,Culex pipiens,08/12/25 5:36 PM,,38
RAC Soccer,1,-111.942333,40.815674,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,2387
Rose Park Golf Course,31,-111.937342,40.80014,CO2,33,Culex pipiens,08/12/25 5:36 PM,,15
Rose Park Golf Course,31,-111.937342,40.80014,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,219
Glendale Golf Course,33,-111.931808,40.727647,CO2,33,Culex pipiens,08/12/25 5:36 PM,,30
Glendale Golf Course,33,-111.931808,40.727647,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,242
Fair Park,32,-111.920029,40.772369,CO2,33,Culex pipiens,08/12/25 5:36 PM,,20
Fair Park,32,-111.920029,40.772369,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,65
Deseret Nursery,37,-112.029477,40.740352,CO2,33,Culex pipiens,08/12/25 5:36 PM,,2386
Deseret Nursery,37,-112.029477,40.740352,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1875
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,33,Culex pipiens,08/12/25 5:36 PM,,53
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,387
Frontage Corral,49,-112.083321,40.768911,CO2,33,Culex pipiens,08/12/25 5:36 PM,,60
Frontage Corral,49,-112.083321,40.768911,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,865
O'Reillys,59,-112.038803,40.754836,CO2,33,Culex pipiens,08/12/25 5:36 PM,,484
O'Reillys,59,-112.038803,40.754836,CO2,33,Culex tarsalis,08/12/25 5:36 PM,,1151
Nibley Golf Course,221,-111.872716,40.710398,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,2
Graystone Church,222,-111.859296,40.710842,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,11
Stratford Ward,223,-111.847231,40.715254,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,6
Stratford Ward,223,-111.847231,40.715254,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,,1
Fire Station 3,220,-111.860128,40.722358,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,40
Downington Ave,211,-111.857223,40.730895,GRVD,33,Culex pipiens,08/12/25 5:36 PM,6,18
Downington Ave,211,-111.857223,40.730895,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,1,
Fire Station 5,215,-111.861323,40.750031,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,11
Fire Station 5,215,-111.861323,40.750031,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,,1
Tracy Aviary,207,-111.875491,40.742217,GRVD,33,Culex pipiens,08/12/25 5:36 PM,2,49
Tracy Aviary,207,-111.875491,40.742217,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,,1
300 E Church,229,-111.883171,40.729612,GRVD,33,Culex pipiens,08/12/25 5:36 PM,,7
300 E Church,229,-111.883171,40.729612,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,4,8
Fire Station 8,213,-111.891203,40.740865,GRVD,33,Culex pipiens,08/12/25 5:36 PM,8,28
Fire Station 8,213,-111.891203,40.740865,GRVD,33,Culex tarsalis,08/12/25 5:36 PM,1,2
Audubon,52,-112.114005,40.826291,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,322
Avocet,51,-112.122441,40.794842,CO2,33,Culex pipiens,08/14/25 3:20 PM,,108
Avocet,51,-112.122441,40.794842,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,1344
South Saratoga,50,-112.109041,40.784374,CO2,33,Culex pipiens,08/14/25 3:20 PM,,3
South Saratoga,50,-112.109041,40.784374,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,483
Inland Sea,35,-112.101481,40.816002,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,16
Jade,53,-112.069104,40.824112,CO2,33,Culex pipiens,08/14/25 3:20 PM,,10
Jade,53,-112.069104,40.824112,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,562
Prison,61,-112.084522,40.800948,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,14
Goat Farm,54,-112.063284,40.787677,CO2,33,Culex pipiens,08/14/25 3:20 PM,,299
Goat Farm,54,-112.063284,40.787677,CO2,33,Culex tarsalis,08/14/25 3:20 PM,,3108
