name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,35,Culex pipiens,08/26/25 3:47 PM,,60
Downington Ave,211,-111.857223,40.730895,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,83
Fire Station 8,213,-111.891203,40.740865,CO2,35,Culex pipiens,08/26/25 3:47 PM,,15
Fire Station 8,213,-111.891203,40.740865,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,25
Fire Station 5,215,-111.861323,40.750031,CO2,35,Culex pipiens,08/26/25 3:47 PM,,12
Fire Station 5,215,-111.861323,40.750031,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,13
Nibley Golf Course,221,-111.872716,40.710398,CO2,35,Culex pipiens,08/26/25 3:47 PM,,37
Nibley Golf Course,221,-111.872716,40.710398,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,140
Fire Station 6,231,-111.918378,40.752326,CO2,35,Culex pipiens,08/26/25 3:47 PM,,48
Fire Station 6,231,-111.918378,40.752326,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,212
Audubon,52,-112.114005,40.826291,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,500
Avocet,51,-112.122441,40.794842,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2412
South Saratoga,50,-112.109041,40.784374,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,541
Inland Sea,35,-112.101481,40.816002,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,3994
Jade,53,-112.069104,40.824112,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,856
Prison,61,-112.084522,40.800948,CO2,35,Culex pipiens,08/26/25 3:47 PM,,268
Prison,61,-112.084522,40.800948,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2958
Goat Farm,54,-112.063284,40.787677,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,5842
Noggin,65,-112.059,40.81327,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,128
Runway,66,-112.074051,40.841498,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,873
Elephant Island,62,-112.049517,40.852033,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,3611
Bird Reclamation,28,-112.050242,40.802139,CO2,35,Culex pipiens,08/26/25 3:47 PM,,42
Bird Reclamation,28,-112.050242,40.802139,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,3101
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,35,Culex pipiens,08/26/25 3:47 PM,,60
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,429
Harrison,26,-112.031522,40.830952,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,1080
Ambassador,27,-112.029156,40.846014,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2280
Lakefront,57,-112.023355,40.86989,CO2,35,Culex pipiens,08/26/25 3:47 PM,,63
Lakefront,57,-112.023355,40.86989,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,447
Power Pole Road,23,-112.015109,40.822043,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,1501
Blackhawk,24,-112.016928,40.806671,CO2,35,Culex pipiens,08/26/25 3:47 PM,,44
Blackhawk,24,-112.016928,40.806671,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2751
Goggin,25,-112.012101,40.793303,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,4631
Rudy,4,-112.003105,40.844458,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,664
Train Tracks,58,-112.003557,40.754243,CO2,35,Culex pipiens,08/26/25 3:47 PM,,134
Train Tracks,58,-112.003557,40.754243,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,4366
Blue Lake,22,-111.986131,40.829946,CO2,35,Culex pipiens,08/26/25 3:47 PM,,69
Blue Lake,22,-111.986131,40.829946,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2849
Northpoint,56,-111.982075,40.845859,CO2,35,Culex pipiens,08/26/25 3:47 PM,,70
Northpoint,56,-111.982075,40.845859,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2316
New State,63,-111.981345,40.871167,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,5442
Wingpointe,34,-111.97708,40.771529,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,3837
Drechsel,9,-111.970167,40.841775,CO2,35,Culex pipiens,08/26/25 3:47 PM,,23
Drechsel,9,-111.970167,40.841775,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,5128
KETO Pumps,60,-111.967566,40.747503,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,649
SLCMAD Facility,64,-111.955752,40.816544,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,568
Hinckley,3,-111.953357,40.84209,CO2,35,Culex pipiens,08/26/25 3:47 PM,,15
Hinckley,3,-111.953357,40.84209,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,881
ATV,29,-111.944005,40.826462,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,888
RAC Soccer,1,-111.942333,40.815674,CO2,35,Culex pipiens,08/26/25 3:47 PM,,6
RAC Soccer,1,-111.942333,40.815674,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,1958
Rose Park Golf Course,31,-111.937342,40.80014,CO2,35,Culex pipiens,08/26/25 3:47 PM,,12
Rose Park Golf Course,31,-111.937342,40.80014,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,797
Glendale Golf Course,33,-111.931808,40.727647,CO2,35,Culex pipiens,08/26/25 3:47 PM,,91
Glendale Golf Course,33,-111.931808,40.727647,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,194
Fair Park,32,-111.920029,40.772369,CO2,35,Culex pipiens,08/26/25 3:47 PM,,4
Fair Park,32,-111.920029,40.772369,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,86
Deseret Nursery,37,-112.029477,40.740352,CO2,35,Culex pipiens,08/26/25 3:47 PM,,4896
Deseret Nursery,37,-112.029477,40.740352,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,105
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,35,Culex pipiens,08/26/25 3:47 PM,,59
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2313
Frontage Corral,49,-112.083321,40.768911,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,472
O'Reillys,59,-112.038803,40.754836,CO2,35,Culex pipiens,08/26/25 3:47 PM,,31
O'Reillys,59,-112.038803,40.754836,CO2,35,Culex tarsalis,08/26/25 3:47 PM,,2301
Graystone Church,222,-111.859296,40.710842,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,5
Stratford Ward,223,-111.847231,40.715254,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,4
Fire Station 3,220,-111.860128,40.722358,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,3
Downington Ave,211,-111.857223,40.730895,GRVD,35,Culex pipiens,08/26/25 3:47 PM,1,4
Fire Station 5,215,-111.861323,40.750031,GRVD,35,Culex pipiens,08/26/25 3:47 PM,2,8
Tracy Aviary,207,-111.875491,40.742217,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,82
300 E Church,229,-111.883171,40.729612,GRVD,35,Culex pipiens,08/26/25 3:47 PM,1,3
Fire Station 8,213,-111.891203,40.740865,GRVD,35,Culex pipiens,08/26/25 3:47 PM,4,17
700 S 200 W,230,-111.898097,40.752834,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,17
Fire Station 6,231,-111.918378,40.752326,GRVD,35,Culex pipiens,08/26/25 3:47 PM,,8
Hogle Zoo,209,-111.813278,40.749919,CO2,35,Culex pipiens,08/29/25 2:55 PM,,22
Hogle Zoo,209,-111.813278,40.749919,CO2,35,Culex tarsalis,08/29/25 2:55 PM,,14
Fire Station 2,214,-111.89899,40.776333,CO2,35,Culex pipiens,08/29/25 2:55 PM,,9
Fire Station 2,214,-111.89899,40.776333,CO2,35,Culex tarsalis,08/29/25 2:55 PM,,25
Fire Station 13,218,-111.822666,40.723648,CO2,35,Culex tarsalis,08/29/25 2:55 PM,,3
Fire Station 4,219,-111.864795,40.781594,CO2,35,Culex pipiens,08/29/25 2:55 PM,,27
Fire Station 4,219,-111.864795,40.781594,CO2,35,Culex tarsalis,08/29/25 2:55 PM,,105
1700 E Church,224,-111.841969,40.729523,GRVD,35,Culex pipiens,08/29/25 2:55 PM,,8
White Church,225,-111.837254,40.738721,GRVD,35,Culex pipiens,08/29/25 2:55 PM,,2
