name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,38,Culex pipiens,09/16/25 3:13 PM,,16
Downington Ave,211,-111.857223,40.730895,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,20
Fire Station 8,213,-111.891203,40.740865,CO2,38,Culex pipiens,09/16/25 3:13 PM,,12
Fire Station 8,213,-111.891203,40.740865,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,12
Fire Station 5,215,-111.861323,40.750031,CO2,38,Culex pipiens,09/16/25 3:13 PM,,10
Fire Station 5,215,-111.861323,40.750031,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,17
Nibley Golf Course,221,-111.872716,40.710398,CO2,38,Culex pipiens,09/16/25 3:13 PM,,4
Nibley Golf Course,221,-111.872716,40.710398,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,44
Fire Station 6,231,-111.918378,40.752326,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,28
Audubon,52,-112.114005,40.826291,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,22
Avocet,51,-112.122441,40.794842,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,39
South Saratoga,50,-112.109041,40.784374,CO2,38,Culex pipiens,09/16/25 3:13 PM,,21
South Saratoga,50,-112.109041,40.784374,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,38
Inland Sea,35,-112.101481,40.816002,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,160
Jade,53,-112.069104,40.824112,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,199
Prison,61,-112.084522,40.800948,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,108
Goat Farm,54,-112.063284,40.787677,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,722
Noggin,65,-112.059,40.81327,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,489
Runway,66,-112.074051,40.841498,CO2,38,Culex pipiens,09/16/25 3:13 PM,,4
Runway,66,-112.074051,40.841498,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,25
Elephant Island,62,-112.049517,40.852033,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,4
Bird Reclamation,28,-112.050242,40.802139,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,231
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,122
Harrison,26,-112.031522,40.830952,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,141
Lakefront,57,-112.023355,40.86989,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,14
Power Pole Road,23,-112.015109,40.822043,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,21
Blackhawk,24,-112.016928,40.806671,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,86
Goggin,25,-112.012101,40.793303,CO2,38,Culex pipiens,09/16/25 3:13 PM,,123
Goggin,25,-112.012101,40.793303,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,1274
Rudy,4,-112.003105,40.844458,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,28
Train Tracks,58,-112.003557,40.754243,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,627
Blue Lake,22,-111.986131,40.829946,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,454
Northpoint,56,-111.982075,40.845859,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,62
New State,63,-111.981345,40.871167,CO2,38,Culex pipiens,09/16/25 3:13 PM,,5
New State,63,-111.981345,40.871167,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,3
Wingpointe,34,-111.97708,40.771529,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,272
Drechsel,9,-111.970167,40.841775,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,614
KETO Pumps,60,-111.967566,40.747503,CO2,38,Culex pipiens,09/16/25 3:13 PM,,20
KETO Pumps,60,-111.967566,40.747503,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,51
SLCMAD Facility,64,-111.955752,40.816544,CO2,38,Culex pipiens,09/16/25 3:13 PM,,2
SLCMAD Facility,64,-111.955752,40.816544,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,93
Hinckley,3,-111.953357,40.84209,CO2,38,Culex pipiens,09/16/25 3:13 PM,,10
Hinckley,3,-111.953357,40.84209,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,209
ATV,29,-111.944005,40.826462,CO2,38,Culex pipiens,09/16/25 3:13 PM,,63
ATV,29,-111.944005,40.826462,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,104
RAC Soccer,1,-111.942333,40.815674,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,349
Rose Park Golf Course,31,-111.937342,40.80014,CO2,38,Culex pipiens,09/16/25 3:13 PM,,7
Rose Park Golf Course,31,-111.937342,40.80014,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,114
Glendale Golf Course,33,-111.931808,40.727647,CO2,38,Culex pipiens,09/16/25 3:13 PM,,21
Glendale Golf Course,33,-111.931808,40.727647,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,35
Fair Park,32,-111.920029,40.772369,CO2,38,Culex pipiens,09/16/25 3:13 PM,,2
Fair Park,32,-111.920029,40.772369,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,20
Deseret Nursery,37,-112.029477,40.740352,CO2,38,Culex pipiens,09/16/25 3:13 PM,,19
Deseret Nursery,37,-112.029477,40.740352,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,257
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,38,Culex pipiens,09/16/25 3:13 PM,,87
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,430
Frontage Corral,49,-112.083321,40.768911,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,95
O'Reillys,59,-112.038803,40.754836,CO2,38,Culex pipiens,09/16/25 3:13 PM,,3
O'Reillys,59,-112.038803,40.754836,CO2,38,Culex tarsalis,09/16/25 3:13 PM,,15
Nibley Golf Course,221,-111.872716,40.710398,GRVD,38,Culex pipiens,09/16/25 3:14 PM,,1
Nibley Golf Course,221,-111.872716,40.710398,GRVD,38,Culex tarsalis,09/16/25 3:14 PM,,6
Graystone Church,222,-111.859296,40.710842,GRVD,38,Culex pipiens,09/16/25 3:14 PM,,1
Stratford Ward,223,-111.847231,40.715254,GRVD,38,Culex pipiens,09/16/25 3:14 PM,,21
Fire Station 3,220,-111.860128,40.722358,GRVD,38,Culex pipiens,09/16/25 3:14 PM,4,16
Tracy Aviary,207,-111.875491,40.742217,GRVD,38,Culex pipiens,09/16/25 3:14 PM,,14
300 E Church,229,-111.883171,40.729612,GRVD,38,Culex pipiens,09/16/25 3:14 PM,3,9
Fire Station 8,213,-111.891203,40.740865,GRVD,38,Culex pipiens,09/16/25 3:14 PM,,13
700 S 200 W,230,-111.898097,40.752834,GRVD,38,Culex pipiens,09/16/25 3:14 PM,2,6
Fire Station 6,231,-111.918378,40.752326,GRVD,38,Culex pipiens,09/16/25 3:14 PM,1,3
Hogle Zoo,209,-111.813278,40.749919,CO2,38,Culex pipiens,09/18/25 3:02 PM,,7
