name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Fire Station 8,213,-111.891203,40.740865,CO2,29,Culex pipiens,07/17/25 8:53 AM,,96
Fire Station 8,213,-111.891203,40.740865,CO2,29,Culex tarsalis,07/17/25 8:53 AM,,81
Downington Ave,211,-111.857223,40.730895,CO2,29,Culex pipiens,07/17/25 8:53 AM,,448
Downington Ave,211,-111.857223,40.730895,CO2,29,Culex tarsalis,07/17/25 8:53 AM,,224
Fire Station 5,215,-111.861323,40.750031,CO2,29,Culex pipiens,07/17/25 8:53 AM,,53
Fire Station 5,215,-111.861323,40.750031,CO2,29,Culex tarsalis,07/17/25 8:53 AM,,47
Nibley Golf Course,221,-111.872716,40.710398,CO2,29,Culex pipiens,07/17/25 8:53 AM,,100
Nibley Golf Course,221,-111.872716,40.710398,CO2,29,Culex tarsalis,07/17/25 8:53 AM,,121
Fire Station 6,231,-111.918378,40.752326,CO2,29,Culex pipiens,07/17/25 8:53 AM,,111
Fire Station 6,231,-111.918378,40.752326,CO2,29,Culex tarsalis,07/17/25 8:53 AM,,168
Audubon,52,-112.114005,40.826291,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,2780
Avocet,51,-112.122441,40.794842,CO2,29,Culex pipiens,07/17/25 8:54 AM,,329
Avocet,51,-112.122441,40.794842,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,6520
South Saratoga,50,-112.109041,40.784374,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,59
Inland Sea,35,-112.101481,40.816002,CO2,29,Culex pipiens,07/17/25 8:54 AM,,93
Inland Sea,35,-112.101481,40.816002,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,2729
Jade,53,-112.069104,40.824112,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,1135
Prison,61,-112.084522,40.800948,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3600
Goat Farm,54,-112.063284,40.787677,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,5665
Runway,66,-112.074051,40.841498,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,1729
Elephant Island,62,-112.049517,40.852033,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3575
Bird Reclamation,28,-112.050242,40.802139,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3854
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,29,Culex pipiens,07/17/25 8:54 AM,,254
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,1979
Harrison,26,-112.031522,40.830952,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,2618
Ambassador,27,-112.029156,40.846014,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,4280
Lakefront,57,-112.023355,40.86989,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3904
Power Pole Road,23,-112.015109,40.822043,CO2,29,Culex pipiens,07/17/25 8:54 AM,,4
Power Pole Road,23,-112.015109,40.822043,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,4
Blackhawk,24,-112.016928,40.806671,CO2,29,Culex pipiens,07/17/25 8:54 AM,,108
Blackhawk,24,-112.016928,40.806671,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3213
Goggin,25,-112.012101,40.793303,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,10271
Rudy,4,-112.003105,40.844458,CO2,29,Culex pipiens,07/17/25 8:54 AM,,48
Rudy,4,-112.003105,40.844458,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,1372
Train Tracks,58,-112.003557,40.754243,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,242
Blue Lake,22,-111.986131,40.829946,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,1893
Northpoint,56,-111.982075,40.845859,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3177
New State,63,-111.981345,40.871167,CO2,29,Culex pipiens,07/17/25 8:54 AM,,114
New State,63,-111.981345,40.871167,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,3482
Wingpointe,34,-111.97708,40.771529,CO2,29,Culex pipiens,07/17/25 8:54 AM,,42
Wingpointe,34,-111.97708,40.771529,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,29
Drechsel,9,-111.970167,40.841775,CO2,29,Culex pipiens,07/17/25 8:54 AM,,47
Drechsel,9,-111.970167,40.841775,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,5363
KETO Pumps,60,-111.967566,40.747503,CO2,29,Culex pipiens,07/17/25 8:54 AM,,138
KETO Pumps,60,-111.967566,40.747503,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,229
SLCMAD Facility,64,-111.955752,40.816544,CO2,29,Culex tarsalis,07/17/25 8:54 AM,,902
