name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,40,Culex pipiens,09/30/25 3:56 PM,,5
Downington Ave,211,-111.857223,40.730895,CO2,40,Culex tarsalis,09/30/25 3:56 PM,,1
Fire Station 8,213,-111.891203,40.740865,CO2,40,Culex pipiens,09/30/25 3:56 PM,,10
Fire Station 5,215,-111.861323,40.750031,CO2,40,Culex pipiens,09/30/25 3:56 PM,,5
Nibley Golf Course,221,-111.872716,40.710398,CO2,40,Culex pipiens,09/30/25 3:56 PM,,4
Nibley Golf Course,221,-111.872716,40.710398,CO2,40,Culex tarsalis,09/30/25 3:56 PM,,5
Fire Station 6,231,-111.918378,40.752326,CO2,40,Culex pipiens,09/30/25 3:56 PM,,1
Fire Station 6,231,-111.918378,40.752326,CO2,40,Culex tarsalis,09/30/25 3:56 PM,,5
Audubon,52,-112.114005,40.826291,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,43
Avocet,51,-112.122441,40.794842,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,20
South Saratoga,50,-112.109041,40.784374,CO2,40,Culex pipiens,09/30/25 3:57 PM,,14
South Saratoga,50,-112.109041,40.784374,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,11
Inland Sea,35,-112.101481,40.816002,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,45
Jade,53,-112.069104,40.824112,CO2,40,Culex pipiens,09/30/25 3:57 PM,,13
Prison,61,-112.084522,40.800948,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,24
Goat Farm,54,-112.063284,40.787677,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,87
Noggin,65,-112.059,40.81327,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,28
Bird Reclamation,28,-112.050242,40.802139,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,3
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,40,Culex pipiens,09/30/25 3:57 PM,,12
Harrison,26,-112.031522,40.830952,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,1
Power Pole Road,23,-112.015109,40.822043,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,11
Blackhawk,24,-112.016928,40.806671,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,11
Goggin,25,-112.012101,40.793303,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,24
Rudy,4,-112.003105,40.844458,CO2,40,Culex pipiens,09/30/25 3:57 PM,,7
Rudy,4,-112.003105,40.844458,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,37
Train Tracks,58,-112.003557,40.754243,CO2,40,Culex pipiens,09/30/25 3:57 PM,,40
Train Tracks,58,-112.003557,40.754243,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,17
Northpoint,56,-111.982075,40.845859,CO2,40,Culex pipiens,09/30/25 3:57 PM,,34
Northpoint,56,-111.982075,40.845859,CO2,40,Culex tarsalis,09/30/25 3:57 PM,,7
