name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Downington Ave,211,-111.857223,40.730895,CO2,39,Culex pipiens,09/23/25 2:43 PM,,138
Downington Ave,211,-111.857223,40.730895,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,2
Fire Station 8,213,-111.891203,40.740865,CO2,39,Culex pipiens,09/23/25 2:43 PM,,11
Fire Station 8,213,-111.891203,40.740865,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,3
Fire Station 5,215,-111.861323,40.750031,CO2,39,Culex pipiens,09/23/25 2:43 PM,,16
Fire Station 5,215,-111.861323,40.750031,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,4
Nibley Golf Course,221,-111.872716,40.710398,CO2,39,Culex pipiens,09/23/25 2:43 PM,,11
Nibley Golf Course,221,-111.872716,40.710398,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,8
Fire Station 6,231,-111.918378,40.752326,CO2,39,Culex pipiens,09/23/25 2:43 PM,,3
Fire Station 6,231,-111.918378,40.752326,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,3
Audubon,52,-112.114005,40.826291,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,21
Avocet,51,-112.122441,40.794842,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,10
South Saratoga,50,-112.109041,40.784374,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,1
Inland Sea,35,-112.101481,40.816002,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,15
Jade,53,-112.069104,40.824112,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,25
Goat Farm,54,-112.063284,40.787677,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,10
Noggin,65,-112.059,40.81327,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,12
Runway,66,-112.074051,40.841498,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,25
Elephant Island,62,-112.049517,40.852033,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,12
Bird Reclamation,28,-112.050242,40.802139,CO2,39,Culex pipiens,09/23/25 2:43 PM,,14
Bird Reclamation,28,-112.050242,40.802139,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,31
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,39,Culex tarsalis,09/23/25 2:43 PM,,8
