name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Audubon,52,-112.114005,40.826291,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,100
Avocet,51,-112.122441,40.794842,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,579
South Saratoga,50,-112.109041,40.784374,CO2,26,Culex pipiens,06/24/25 4:01 PM,,4
South Saratoga,50,-112.109041,40.784374,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,83
Inland Sea,35,-112.101481,40.816002,CO2,26,Culex pipiens,06/24/25 4:01 PM,,13
Inland Sea,35,-112.101481,40.816002,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,167
Jade,53,-112.069104,40.824112,CO2,26,Culex pipiens,06/24/25 4:01 PM,,28
Jade,53,-112.069104,40.824112,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,111
Prison,61,-112.084522,40.800948,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,89
Goat Farm,54,-112.063284,40.787677,CO2,26,Culex pipiens,06/24/25 4:01 PM,,18
Goat Farm,54,-112.063284,40.787677,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,836
Noggin,65,-112.059,40.81327,CO2,26,Culex pipiens,06/24/25 4:01 PM,,22
Noggin,65,-112.059,40.81327,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,365
Runway,66,-112.074051,40.841498,CO2,26,Culex pipiens,06/24/25 4:01 PM,,14
Runway,66,-112.074051,40.841498,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,676
Elephant Island,62,-112.049517,40.852033,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1504
Bird Reclamation,28,-112.050242,40.802139,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,807
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,26,Culex pipiens,06/24/25 4:01 PM,,6
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,231
Harrison,26,-112.031522,40.830952,CO2,26,Culex pipiens,06/24/25 4:01 PM,,56
Harrison,26,-112.031522,40.830952,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1170
Ambassador,27,-112.029156,40.846014,CO2,26,Culex pipiens,06/24/25 4:01 PM,,231
Ambassador,27,-112.029156,40.846014,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,3090
Lakefront,57,-112.023355,40.86989,CO2,26,Culex pipiens,06/24/25 4:01 PM,,172
Lakefront,57,-112.023355,40.86989,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1270
Power Pole Road,23,-112.015109,40.822043,CO2,26,Culex pipiens,06/24/25 4:01 PM,,3
Power Pole Road,23,-112.015109,40.822043,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,262
Blackhawk,24,-112.016928,40.806671,CO2,26,Culex pipiens,06/24/25 4:01 PM,,9
Blackhawk,24,-112.016928,40.806671,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1312
Goggin,25,-112.012101,40.793303,CO2,26,Culex pipiens,06/24/25 4:01 PM,,118
Goggin,25,-112.012101,40.793303,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1252
Rudy,4,-112.003105,40.844458,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1459
Train Tracks,58,-112.003557,40.754243,CO2,26,Culex pipiens,06/24/25 4:01 PM,,51
Train Tracks,58,-112.003557,40.754243,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,945
Blue Lake,22,-111.986131,40.829946,CO2,26,Culex pipiens,06/24/25 4:01 PM,,73
Blue Lake,22,-111.986131,40.829946,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,430
Northpoint,56,-111.982075,40.845859,CO2,26,Culex pipiens,06/24/25 4:01 PM,,31
Northpoint,56,-111.982075,40.845859,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,428
New State,63,-111.981345,40.871167,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,998
Wingpointe,34,-111.97708,40.771529,CO2,26,Culex pipiens,06/24/25 4:01 PM,,298
Wingpointe,34,-111.97708,40.771529,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,723
Drechsel,9,-111.970167,40.841775,CO2,26,Culex pipiens,06/24/25 4:01 PM,,33
Drechsel,9,-111.970167,40.841775,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,3870
KETO Pumps,60,-111.967566,40.747503,CO2,26,Culex pipiens,06/24/25 4:01 PM,,50
KETO Pumps,60,-111.967566,40.747503,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,368
SLCMAD Facility,64,-111.955752,40.816544,CO2,26,Culex pipiens,06/24/25 4:01 PM,,1
SLCMAD Facility,64,-111.955752,40.816544,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,372
Hinckley,3,-111.953357,40.84209,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,432
ATV,29,-111.944005,40.826462,CO2,26,Culex pipiens,06/24/25 4:01 PM,,191
ATV,29,-111.944005,40.826462,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,93
RAC Soccer,1,-111.942333,40.815674,CO2,26,Culex pipiens,06/24/25 4:01 PM,,131
RAC Soccer,1,-111.942333,40.815674,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1594
Rose Park Golf Course,31,-111.937342,40.80014,CO2,26,Culex pipiens,06/24/25 4:01 PM,,4
Rose Park Golf Course,31,-111.937342,40.80014,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,268
Glendale Golf Course,33,-111.931808,40.727647,CO2,26,Culex pipiens,06/24/25 4:01 PM,,18
Glendale Golf Course,33,-111.931808,40.727647,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,87
Fair Park,32,-111.920029,40.772369,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,33
Deseret Nursery,37,-112.029477,40.740352,CO2,26,Culex pipiens,06/24/25 4:01 PM,,1016
Deseret Nursery,37,-112.029477,40.740352,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,1186
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,26,Culex pipiens,06/24/25 4:01 PM,,41
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,541
Frontage Corral,49,-112.083321,40.768911,CO2,26,Culex pipiens,06/24/25 4:01 PM,,15
Frontage Corral,49,-112.083321,40.768911,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,239
O'Reillys,59,-112.038803,40.754836,CO2,26,Culex pipiens,06/24/25 4:01 PM,,5
O'Reillys,59,-112.038803,40.754836,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,770
Fire Station 8,213,-111.891203,40.740865,CO2,26,Culex pipiens,06/24/25 4:01 PM,,77
Fire Station 8,213,-111.891203,40.740865,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,97
Downington Ave,211,-111.857223,40.730895,CO2,26,Culex pipiens,06/24/25 4:01 PM,,221
Downington Ave,211,-111.857223,40.730895,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,145
Fire Station 5,215,-111.861323,40.750031,CO2,26,Culex pipiens,06/24/25 4:01 PM,,63
Fire Station 5,215,-111.861323,40.750031,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,33
Nibley Golf Course,221,-111.872716,40.710398,CO2,26,Culex pipiens,06/24/25 4:01 PM,,1
Nibley Golf Course,221,-111.872716,40.710398,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,2
Fire Station 6,231,-111.918378,40.752326,CO2,26,Culex pipiens,06/24/25 4:01 PM,,10
Fire Station 6,231,-111.918378,40.752326,CO2,26,Culex tarsalis,06/24/25 4:01 PM,,61
Nibley Golf Course,221,-111.872716,40.710398,GRVD,26,Culex pipiens,06/24/25 4:02 PM,6,7
Nibley Golf Course,221,-111.872716,40.710398,GRVD,26,Culex tarsalis,06/24/25 4:02 PM,,1
Graystone Church,222,-111.859296,40.710842,GRVD,26,Culex pipiens,06/24/25 4:02 PM,1,24
Stratford Ward,223,-111.847231,40.715254,GRVD,26,Culex pipiens,06/24/25 4:02 PM,,37
Fire Station 3,220,-111.860128,40.722358,GRVD,26,Culex pipiens,06/24/25 4:02 PM,,20
Downington Ave,211,-111.857223,40.730895,GRVD,26,Culex pipiens,06/24/25 4:02 PM,2,44
Fire Station 5,215,-111.861323,40.750031,GRVD,26,Culex pipiens,06/24/25 4:02 PM,1,13
Tracy Aviary,207,-111.875491,40.742217,GRVD,26,Culex pipiens,06/24/25 4:02 PM,,97
Tracy Aviary,207,-111.875491,40.742217,GRVD,26,Culex tarsalis,06/24/25 4:02 PM,,1
300 E Church,229,-111.883171,40.729612,GRVD,26,Culex pipiens,06/24/25 4:02 PM,2,1
Fire Station 8,213,-111.891203,40.740865,GRVD,26,Culex pipiens,06/24/25 4:02 PM,1,22
700 S 200 W,230,-111.898097,40.752834,GRVD,26,Culex pipiens,06/24/25 4:02 PM,4,5
700 S 200 W,230,-111.898097,40.752834,GRVD,26,Culex tarsalis,06/24/25 4:02 PM,,1
Fire Station 6,231,-111.918378,40.752326,GRVD,26,Culex pipiens,06/24/25 4:02 PM,,15
Fire Station 6,231,-111.918378,40.752326,GRVD,26,Culex tarsalis,06/24/25 4:02 PM,,1
